,Question,Answer
35,在国内来说，回天是行业龙头，那么请问公司怎样面对国际巨头的市场竞争？,"回天新材作为中国胶粘剂行业龙头，我们有四十年的技术积累，有本土化的销售和服务优势，产品的性能已全面达到国际竞品的水平，在主导行业的大客户工艺性和操作性方面更胜一筹，这点在近几年的市场竞争中已经得到充分体现，只要回天进入的行业，我们在同国际巨头的竞争中已取得一个又一个的胜利。
"
36,首先感谢董秘日常在互动平台上的积极回复，您的专业答复坚定了我投资回天的信心。我关注的是外贸这块，公司去年设立香港子公司并且收购越南公司，请问2018年公司在外贸板块有何规划？,"谢谢您对回天新材关注！
公司为加快外贸业务发展，去年先后设立回天香港公司和收购越南越有公司，并高效达成与其当地客商供货关系，销售迅即打开局面，回天产品在东南亚获得当地企业广泛关注与青睐，2017年公司外贸完成逾5000万营收，2018年公司外贸将再次基础上，预计有一个较上年超过150%较大增长。"
37,最近行业巨头美国迈图宣布对有机硅产品提价20%，公司目前对旗下产品有提价打算？谢谢！,"公司从2017年至今一直在不断涨价，最近各销售单元都在进行新一轮提价工作。
"
38,去年光伏背膜产值三亿不到，而常州回天建立时的愿景是年营收三十亿，这是否意味着背膜产品上升空间很大，以后将会是集团非常重要的一个板块。谢谢！,"光伏背膜是百亿级产业，并且未来还有很大的成长空间，目前回天虽说绝对值不大，但产品已导入前十大组件客户，正处于快速上量中，相信背膜一定会是公司占比重要的一个版块。
"
39,去年光伏背膜产值三亿不到，而常州回天建立时的愿景是年营收三十亿，这是否意味着背膜产品上升空间很大，以后将会是集团非常重要的一个板块。谢谢！,"光伏背膜是百亿级产业，并且未来还有很大的成长空间，目前回天虽说绝对值不大，但产品已导入前十大组件客户，正处于快速上量中，相信背膜一定会是公司占比重要的一个版块。
"
40,王总你好，能否展望下2020年，那时的回天的营收，净利润会不会爆发性增长，与汉高等合资品牌竟争时平分秋色，不分伯仲,"谢谢您对回天的支持。2020 年是回天五年计划的重要一年，回天的营收、净利润一定会取得爆发式的增长，在国内胶粘剂行业与众多国外品牌平分秋色，并在大部分主导的细分领域取得领先地位。
"
41,非公开发行定增的一万吨有机硅胶粘剂和一万吨聚氨酯胶粘剂2017年销量多少吨，从2017年的年报数据来看软包装胶有一个亿的收入，建筑胶有五千万的收入。为什么才产生三百来万的净利润。2018年这一块有什么措施提高净利润率吗？有预期吗？,"非公开发行定增的两个万吨产线已经完全满产，软包和建筑两项新业务净利润不高主要在于规模效应尚未完全体现，2018年随着两项业务的再次翻番、新产品比例的提高，净利润率会有5%-10%的增长。
"
42,2017年胶粘剂销量近6万吨，2018年产能预计能达到多少？销量多少？2017年年报里曾提到高铁用胶大增，但在年报里看不到具体数据？是存在于2017年报中按行业中的其他吗？我理解的是还是占营收比太小，不能单独列出。2018年能达到多少？高铁用胶2018年报中有机会占比达到上数据的量吗？,"2018年产能预计能达到近10万吨，力争做到满产；高铁用胶没有具体数据是因为会计科目分类原因，相比于主营成熟业务，高铁用胶正在高速增长，2018年力争突破5000万元。
"
43,您好，董事长，能不能给我们股民喊个口号，定个小目标什么的！我们股民对公司和董事长以及公司每一个员工都是很有信心的，董事长是不是也给我们投资者来点信心！,"回天公司已进入发展的快车道，随着内生增长、外延扩张各个目标的实现，我们相信回天会尽快成为百亿市值的上市公司。
"
44,刚看了下董事长的致词，文中提到常州背膜将新增3000万平，这是不是意味着太阳能电池背膜产能将达到5000万平。另外，氟膜的产能现在是多少，2017年1600万平的背膜中自产的氟膜用了多少平？什么时候自产的氟膜能完全使用，氟膜有外销的打算吗？,"氟膜现有产能在千万平米的规模，目前还在积极扩产提速，由于公司背膜销量的快速增长，氟膜还很难完全满足自用。
"
45,新经济是时下热门的一词，您是如何理解的？回天新材所从事服务的行业算新经济吗？,"胶粘剂产业是为众多行业提供服务的，其中国家规划的各个新型产业是回天的主营发展方向。其中大部分属于新经济的范畴。
"
46,您好，行业产品目前价格都有涨价20%左右，产能供不应求，公司产品有考虑跟随行业涨价吗？,"公司从2017年至今一直在不断涨价，最近各销售单元都在进行新一轮提价工作。
"
47,请问哪里可以找到工地原材料的价格，对比去年原材料价格有下降么？产品有提价么？现在市场占有率如何？二季度业绩能维持一季的度的增速么？,"从去年开始，各种原材料价格都在一路上升，回天公司也积极应对，做了多轮的提价工作，随着竞争力的不断增强，我们的占有率也在不断提高，二季度业绩增速一定会在我们的预期内。
"
48,您好，董事长！请问您对独角兽企业是怎样理解？回天新材是独角兽吗？或者可以成为独角兽的可能吗？,"独角兽企业是所有优秀企业努力的方向，回天新材离独角兽还有很长的路要走，但只要我们坚守实业，坚持发展的方向不动摇，一定会扛起民族胶粘剂行业独角兽的大旗。
"
49,您好，董事长，做实业都离不开各类资本的投入和投机，董事长如何去平衡两者，让回天做得更大更强，早日进军百亿回天，千亿回天！,您说的很对，做实业确实需要各类资本的投入，回天新材作为一家上市公司，在发展的不同阶段根据自身的需要充分利用各类资本，来推动公司的快速发展。
50,136****6966问董事长-章锋2018-03-13 14:32:21我看年报您和您的高管们大多今年下半年就任期界满，您是继续为了百亿回天担当董事长，（当然有个选举程序）？还是退休把重任交给后辈呢？讲真，您还年富力强，同时您在董事长的位上，我们小散很安心。,"回天的高管包括我本人一直致力于民族胶粘剂产业的发展，在当前宏观政策回归实业、重视企业家精神的背景下，我们更没有理由懈怠，更应该抓住历史机遇，继续长期奋斗，感谢您对我们的认可。
"
51,我看年报您和您的高管们大多今年下半年就任期界满，您是继续为了百亿回天担当董事长，（当然有个选举程序）？还是退休把重任交给后辈呢？讲真，您还年富力强，同时您在董事长的位上，我们小散很安心。,回天的高管包括我本人一直致力于民族胶粘剂产业的发展，在当前宏观政策回归实业、重视企业家精神的背景下，我们更没有理由懈怠，更应该抓住历史机遇，继续长期奋斗，感谢您对我们的认可。
52,胶粘剂行业属于重资产行业吗？如果不是，那么技术密集性行业的短板是什么？,胶粘剂行业不属于重资产行业，类似于胶粘剂这种技术密集型行业的短板在于技术人才的高精尖，另外就是行业技术更新换代快，这些恰恰是回天相比于同行的优势。
53,目前公司研发经费上升到6000多万，目前公司在研发上投入累差不多有5个亿了，虽然有不少新品产出，却没有一个产品是具有市场绝对主导地位的产品？公司研发方向是否有问题？能透露一下今年的研发方向吗？今年有何新品上市？,"作为一家有研究院所背景的公司，一直注重研发的投入及新产品新市场的研发及开拓，今年回天依然保持较高的研发投入，人才方面：这几年引进了硕士、博士、及在同行业有研发经验的专家，并聘请了国家千人计划专家；课题选择上紧紧围绕回天的主业：胶粘剂和密封胶领域，着重点：
1、现有产品技术的升级与提高，保持行业的技术领先地位；维护和提高现有产品的市场占有率
2、在回天有机硅胶、聚氨酯胶、MS密封胶、丙烯酸酯结构胶、太阳能背膜的几大主业上开发新产品，满足市场的日新月异的需求：
2018年主要在PUR上发力，已投入开发了手机、电脑等手持用胶、电视、冰箱等产线用胶、木材加工护墙板材用产用胶。
PU风挡玻璃胶主要结合几大主机厂满足主机厂的应用需求
MS胶主要应用于建筑工业化的快速发展的需求及中国高铁动车组装的要求
环氧结构胶及丙烯酸酯结构胶主要应用于汽车轻量化、高铁动车车箱组装用胶
双组份PU胶以无溶剂复合胶为发展方向，2018年开发的产品将在市场提升上再上台阶
太阳能背板新品的开发将开发出KPC、KPH等产品满足市场需求
有机硅电子用胶及UV胶新产品有望实现60%的增长
"
54,设立雄安分公司目前有进展？谢谢！,谢谢您的问题！回天新材雄安项目按照既定战略计划正在有条不紊进行中，新机场建设已在进行中。2018年伴随新区规划实施，回天将持续跟进。
55,回天今年营收突破20亿应该问题不大。回天的领导层志存高远，营收100亿决不是终极目标。2020是十三五收官年，到那时营收达到50亿该多好。章董秘是不是觉得50亿是个小目标？感谢章董秘平时在互动平台与投资者的及时沟通，业务很强，谢谢,谢谢您的问题，回天新材对于2018年和今后的发展目标始终充满信心，我们经过20年的努力，已经步入了一个较高的发展平台，可以与国际巨头比肩竞争，这得益于国家改革开放机遇，相信通过不懈努力，能够实现这个目标，
56,您好，2018一二月份新能源汽车销量大增80%左右，公司汽车用胶在新能源车企供货有哪些车企？是否实现国产全部供货？特斯拉经过几年公关是否实现供货？目前汽车用胶公司供货是否供不应求？,"公司已经跟新能源龙头企业比亚迪进行战略合作，前十大客车厂都在进行全方位合作；国产替代正在全面进行中；目前汽车用胶的两个销售公司发展势头领先于其他公司；特斯拉供货正在进行中。
"
57,请问2016年下半年来的国家千人计划专家，方便透露下姓名吗？他负责哪个领域的研发呢？他有没有参加2017年7月实行的非公开发行认购股份呢？,"回天的国家千人计划专家是孙寿鹏教授，他主要负责PU领域，是该领域全球领先的专家。我们对孙教授有合理的激励安排。
"
