code,short,pos,neg
002330,得利斯,76.75,20.75
002055,得润电子,47.25,11.5
002177,御银股份,40.0,10.5
002801,微光股份,35.0,6.0
002571,德力股份,214.45,147.0
002260,德奥通航,57.75,13.5
300325,德威新材,33.5,7.0
002631,德尔未来,66.5,20.0
300473,德尔股份,71.75,10.5
002054,德美化工,41.0,10.0
002666,德联集团,34.0,5.0
002005,德豪润达,166.2,118.7
000049,德赛电池,82.5,10.5
002411,必康股份,46.0,9.0
300413,快乐购,49.0,7.0
300078,思创医惠,34.5,5.5
300608,思特奇,80.75,20.0
002712,思美传媒,64.25,9.0
002183,怡亚通,146.65,57.0
300081,恒信移动,44.5,8.0
002492,恒基达鑫,80.5,25.7
002591,恒大高新,32.5,5.0
002104,恒宝股份,218.15,131.7
002219,恒康医疗,56.95,19.5
002132,恒星科技,34.5,7.75
300513,恒泰实达,51.75,15.0
300157,恒泰艾普,62.75,9.0
300374,恒通科技,33.0,8.0
002237,恒邦股份,67.5,9.5
300605,恒锋信息,56.2,13.0
300488,恒锋工具,61.5,16.7
300208,恒顺众昇,195.5,64.7
002262,恩华药业,77.75,20.0
002162,悦心健康,49.5,16.0
300460,惠伦晶体,22.0,4.0
002554,惠博普,61.0,12.0
002343,慈文传媒,173.95,41.5
300307,慈星股份,61.0,22.7
002628,成都路桥,39.5,6.0
002190,成飞集成,60.0,14.5
300357,我武生物,64.0,26.5
300314,戴维医疗,92.0,26.5
002652,扬子新材,76.5,21.2
300373,扬杰科技,57.5,12.0
002154,报喜鸟,42.5,8.0
300229,拓尔思,66.0,7.5
300607,拓斯达,54.25,13.5
002218,拓日新能,55.0,11.0
002261,拓维信息,73.875,25.5
002139,拓邦股份,98.5,35.5
001979,招商蛇口,64.2,19.0
300158,振东制药,143.25,51.0
300101,振芯科技,59.25,24.5
300182,捷成股份,40.75,10.0
002609,捷顺科技,50.5,4.0
300315,掌趣科技,98.25,34.85
300005,探路者,89.4,10.75
002451,摩恩电气,48.2,15.0
002656,摩登大道,39.5,3.0
300075,数字政通,27.0,9.0
300579,数字认证,46.0,7.5
300079,数码视讯,83.75,26.9
300089,文化长城,78.2,11.0
002775,文科园林,76.75,37.0
300382,斯莱克,66.25,9.5
002388,新亚制程,40.0,9.0
300472,新元科技,32.0,3.0
002147,新光圆成,73.2,19.0
300519,新光药业,110.75,28.2
002376,新北洋,56.0,20.2
002264,新华都,47.0,8.5
002001,新和成,161.375,30.2
300130,新国都,71.25,16.5
300259,新天科技,65.7,15.75
300013,新宁物流,58.5,21.0
002836,新宏泽,24.0,4.0
300037,新宙邦,82.25,35.0
002705,新宝股份,72.7,12.0
300248,新开普,65.0,22.7
300109,新开源,49.5,10.0
300336,新文化,16.5,12.0
002527,新时达,105.75,40.25
300502,新易盛,107.2,18.0
300542,新晨科技,64.2,14.0
002328,新朋股份,47.0,9.2
002089,新海宜,99.75,48.5
002532,新界泵业,63.95,19.2
002700,新疆浩源,44.5,9.0
300159,新研股份,52.5,8.0
002480,新筑股份,69.75,12.5
002341,新纶科技,102.125,26.2
300509,新美星,50.6,5.5
300260,新莱应材,52.5,13.0
002087,新野纺织,42.0,7.0
300593,新雷能,56.75,20.95
002196,方正电机,48.0,10.0
300235,方直科技,42.0,4.0
002593,日上集团,94.0,24.2
002520,日发精机,58.60000000000001,17.5
603218,日月股份,49.7,9.0
300470,日机密封,96.2,24.0
002313,日海通讯,69.75,25.5
600017,日照港,101.2,28.0
300214,日科化学,58.5,12.0
002516,旷达科技,55.5,10.0
300418,昆仑万维,43.0,14.0
002752,昇兴股份,25.125,9.0
300503,昊志机电,57.2,21.0
300151,昌红科技,88.0,24.2
300242,明家联合,51.0,8.5
002574,明牌珠宝,74.75,34.5
300125,易世达,46.75,11.0
300376,易事特,29.0,6.0
300212,易华录,83.0,24.2
002826,易明医药,69.5,14.0
300096,易联众,95.5,23.5
300464,星徽精密,22.0,3.0
300256,星星科技,62.5,19.7
002291,星期六,41.0,14.0
300143,星河生物,41.0,6.0
300568,星源材质,69.0,34.5
002829,星网宇达,90.0,10.2
002396,星网锐捷,51.5,8.75
300043,星辉娱乐,669.8499999999999,82.45
002547,春兴精工,59.5,17.5
300139,晓程科技,81.75,23.5
300138,晨光生物,61.75,16.5
300610,晨化股份,77.75,28.25
300581,晨曦航空,95.0,26.2
300442,普丽盛,71.5,23.25
002324,普利特,77.0,20.2
002769,普路通,44.75,15.75
002663,普邦园林,60.0,9.0
002067,景兴纸业,88.75,31.0
300474,景嘉微,46.0,11.0
300316,晶盛机电,44.5,5.0
300097,智云股份,47.0,5.5
002169,智光电气,79.75,16.0
300173,智慧松德,52.5,20.0
300122,智飞生物,59.0,8.0
300431,暴风集团,105.75,70.45
002612,朗姿股份,81.25,52.25
300175,朗源股份,63.0,16.5
300288,朗玛信息,42.5,10.5
300543,朗科智能,87.4,21.75
300042,朗科科技,91.0,27.2
002745,木林森,44.0,6.0
002581,未名医药,78.0,22.5
300024,机器人,79.0,13.0
300478,杭州高新,62.75,14.25
002430,杭氧股份,87.0,20.0
002534,杭锅股份,120.375,55.65
002353,杰瑞股份,51.0,6.0
002544,杰赛科技,70.25,16.5
002454,松芝股份,57.75,17.2
002535,林州重机,105.5,38.7
002776,柏堡龙,44.5,5.0
002346,柘中股份,44.5,3.0
002082,栋梁新材,58.5,12.0
002340,格林美,190.5,55.7
002820,桂发祥,58.0,16.0
002275,桂林三金,45.0,14.0
300275,梅安森,34.5,6.5
300038,梅泰诺,59.75,17.5
002397,梦洁股份,29.5,6.75
002123,梦网荣信,128.2,51.5
002634,棒杰股份,92.5,25.0
002431,棕榈股份,78.5,11.0
002358,森源电气,98.5,17.0
300210,森远股份,63.25,19.5
002563,森马服饰,59.5,19.5
300358,楚天科技,32.0,12.0
002171,楚江新材,60.0,13.0
002474,榕基软件,61.75,13.5
002056,横店东磁,142.5,45.525000000000006
300539,横河模具,32.0,3.0
300615,欣天科技,116.5,34.95
300207,欣旺达,44.0,18.0
300372,欣泰电气,54.0,16.0
300595,欧普康视,76.0,19.0
300053,欧比特,73.0,9.5
002711,欧浦智网,65.0,17.5
002456,欧菲光,112.25,36.25
002241,歌尔股份,74.95,16.5
300410,正业科技,48.5,10.0
300224,正海磁材,57.9,17.5
002157,正邦科技,50.0,8.0
002569,步森股份,50.5,9.5
002251,步步高,61.0,15.5
002194,武汉凡谷,119.25,36.2
002420,毅昌股份,68.75,16.5
002594,比亚迪,323.825,125.5
002832,比音勒芬,45.0,6.5
002234,民和股份,78.5,26.5
002647,民盛金科,29.75,5.0
002273,水晶光电,64.5,12.0
002753,永东股份,34.5,3.5
002756,永兴特钢,68.2,14.0
300230,永利股份,59.5,21.5
