code,short,pos,neg
002327,富安娜,93.15,27.0
300299,富春股份,264.0,25.0
002818,富森美,209.0,27.0
002743,富煌钢构,212.25,24.7
300228,富瑞特装,69.2,15.0
300497,富祥股份,250.2,43.5
300387,富邦股份,435.25,38.0
300267,尔康制药,118.75,14.0
002551,尚荣医疗,336.625,59.5
002427,尤夫股份,69.15,6.5
002490,山东墨龙,94.0,12.0
002193,山东如意,89.0,11.5
002026,山东威达,401.0,30.0
002526,山东矿机,265.25,73.25
002598,山东章鼓,103.0,19.5
002097,山河智能,100.5,32.2
300452,山河药辅,199.75,41.75
002500,山西证券,436.5,99.0
300492,山鼎设计,133.5,7.0
002717,岭南园林,363.0,21.0
002253,川大智胜,47.0,21.0
002272,川润股份,191.625,33.5
300547,川环科技,96.75,15.2
300505,川金诺,113.0,10.5
002342,巨力索具,92.5,15.0
002444,巨星科技,182.75,16.0
002031,巨轮智能,322.25,41.0
002619,巨龙管业,88.0,29.0
002188,巴士在线,94.0,9.0
300262,巴安水务,153.0,16.0
002485,希努尔,352.25,51.0
002798,帝王洁具,55.0,6.0
002247,帝龙文化,287.625,17.5
002478,常宝股份,96.5,16.0
300255,常山药业,133.0,15.0
002160,常铝股份,156.25,14.0
300571,平治信息,76.25,16.0
300528,幸福蓝海,199.0,9.5
002101,广东鸿图,251.25,24.0
300537,广信材料,1098.825,136.375
002103,广博股份,78.5,12.75
002133,广宇集团,284.0,18.0
002482,广田集团,132.4625,17.0
600831,广电网络,83.25,7.0
002152,广电运通,324.25,66.0
002187,广百股份,117.0,14.0
002410,广联达,169.0,21.5
002367,康力电梯,335.95,63.7
002773,康弘药业,135.0,28.0
002119,康强电子,149.0,20.0
002450,康得新,297.0,62.25
300455,康拓红外,69.0,5.0
300445,康斯特,126.0,14.0
600076,康欣新材,107.75,8.0
300601,康泰生物,121.5,14.0
002418,康盛股份,192.875,15.0
300061,康耐特,176.4,7.0
300086,康芝药业,222.75,28.0
002669,康达新材,154.0,24.0
002178,延华智能,270.875,49.75
300107,建新股份,129.125,21.0
002398,建研集团,164.0,13.0
002789,建艺集团,93.5,4.0
300338,开元仪器,89.75,16.0
300234,开尔新材,233.625,36.4
300577,开润股份,220.25,25.5
300633,开立医疗,192.7,10.0
300272,开能环保,580.0,102.5
002833,弘亚数控,125.0,16.5
002839,张家港行,235.25,37.0
300429,强力新材,280.5,34.0
300073,当升科技,398.125,38.5
002561,徐家汇,327.25,38.25
002330,得利斯,222.25,29.0
002055,得润电子,154.0,15.5
002177,御银股份,77.5,10.0
002801,微光股份,69.0,5.0
002571,德力股份,145.7,91.25
002260,德奥通航,192.3,19.0
300325,德威新材,120.25,9.5
002631,德尔未来,344.5,44.0
300473,德尔股份,227.5,16.0
002054,德美化工,167.0,28.5
002666,德联集团,50.25,17.0
002005,德豪润达,256.75,74.75
000049,德赛电池,187.5,16.0
002411,必康股份,244.0,40.5
300413,快乐购,258.75,25.0
300078,思创医惠,110.0,12.0
300608,思特奇,162.5,20.0
002712,思美传媒,208.25,22.0
002183,怡亚通,136.125,23.0
